keyword,product_id,product_name,url,currency,original_price_min,original_price_max,final_price_min,final_price_max,discount_percent,category_1,category_2,category_3,rating,review_count,sold,star_1,star_2,star_3,star_4,star_5,seller_id,seller_name,seller_rating,seller_followers,seller_product,seller_response_rate,seller_response_time,seller_joined,price_avg,price_range,seller_age
headset,42531428335,VIVAN Earphone Headphone Headset In-Ear 3D Subwoofer Powerfull Bass Jack Audio 3.5mm Type-C Titanium 10mm Q15S Q15SC,https://shopee.co.id/VIVAN-Earphone-Headphone-Headset-In-Ear-3D-Subwoofer-Powerfull-Bass-Jack-Audio-3.5mm-Type-C-Titanium-10mm-Q15S-Q15SC-i.11722931.42531428335?extraParams=%7B%22display_model_id%22%3A244251685137%2C%22model_selection_logic%22%3A3%7D&sp_atk=e8e37172-a63e-46de-9d3a-775b32a03f1b&xptdk=e8e37172-a63e-46de-9d3a-775b32a03f1b,IDR,107000.0,107000.0,107000.0,107000.0,0,Mobile & Accessories,Mobile Audio,"Earphones, Headphones & Headsets",4.9,13.0,68.0,0.0,0.0,0.0,1.0,12.0,11722931,Vivan Official Shop,596400.0,716700.0,477.0,100.0,1,10 years ago,107000.0,0.0,10
headset,25117212844,Lenovo Thinkplus TH30 Headset Bluetooth V5.3 Wireless Headphone Bluetooth Bass Gaming Music tws Headset for Android IOS PC,https://shopee.co.id/Lenovo-Thinkplus-TH30-Headset-Bluetooth-V5.3-Wireless-Headphone-Bluetooth-Bass-Gaming-Music-tws-Headset-for-Android-IOS-PC-i.1089578754.25117212844?extraParams=%7B%22display_model_id%22%3A194948887138%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f23b29d-b3a3-409b-b297-ef5fc78a1e65&xptdk=2f23b29d-b3a3-409b-b297-ef5fc78a1e65,IDR,240000.0,480000.0,142000.0,289000.0,53,Computer & Accessories,Gaming,Gaming Headset,4.9,10300.0,10000.0,83.0,33.0,139.0,654.0,9400.0,1089578754,Thinkplus Audio Store,56800.0,31400.0,235.0,100.0,2,33 months ago,215500.0,147000.0,33
headset,826361914,Xiaomi In-Ear Headphones Basic | Built-in Microphone | Desain elegan | Earphone | Headset [ Official Store ],https://shopee.co.id/Xiaomi-In-Ear-Headphones-Basic-Built-in-Microphone-Desain-elegan-Earphone-Headset-Official-Store--i.51925611.826361914?extraParams=%7B%22display_model_id%22%3A365881833088%2C%22model_selection_logic%22%3A3%7D&sp_atk=b2b95f43-77ba-4323-abd7-3748523f37e5&xptdk=b2b95f43-77ba-4323-abd7-3748523f37e5,IDR,119000.0,119000.0,99000.0,99000.0,17,Mobile & Accessories,Mobile Audio,"Earphones, Headphones & Headsets",4.9,63400.0,10000.0,268.0,157.0,689.0,4400.0,57800.0,51925611,Xiaomi Official Store,3200000.0,3400000.0,341.0,95.0,2,8 years ago,99000.0,0.0,8
headset,40651424918,Pods Air Headset EarPods Kabel Earphone Handsfree Kabel Lightning / Type C,https://shopee.co.id/Pods-Air-Headset-EarPods-Kabel-Earphone-Handsfree-Kabel-Lightning-Type-C-i.1453081456.40651424918?extraParams=%7B%22display_model_id%22%3A400934779029%2C%22model_selection_logic%22%3A3%7D&sp_atk=c69fa712-828d-4b4d-b590-ef10d8bb22b6&xptdk=c69fa712-828d-4b4d-b590-ef10d8bb22b6,IDR,185165.0,185165.0,185165.0,185165.0,0,Computer & Accessories,Gaming,Gaming Headset,5.0,29.0,6000.0,0.0,0.0,0.0,1.0,28.0,1453081456,Pods Air,4100.0,3100.0,12.0,79.0,2,18 months ago,185165.0,0.0,18
headset,43662379094,Baseus Bass BH1 Lite Wireless Headphone Super Bass Spatial Audio 80 Hour Playtime AI ENC 40mm Dynamic Drivers,https://shopee.co.id/Baseus-Bass-BH1-Lite-Wireless-Headphone-Super-Bass-Spatial-Audio-80-Hour-Playtime-AI-ENC-40mm-Dynamic-Drivers-i.223032375.43662379094?extraParams=%7B%22display_model_id%22%3A261035962683%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4ecebf2-0542-44b8-92a7-3f97e7d333e1&xptdk=d4ecebf2-0542-44b8-92a7-3f97e7d333e1,IDR,371420.0,371420.0,371420.0,371420.0,0,Mobile & Accessories,Mobile Audio,"Earphones, Headphones & Headsets",4.9,750.0,2000.0,5.0,0.0,5.0,25.0,715.0,223032375,Baseus Official Shop,379900.0,249800.0,262.0,100.0,1,6 years ago,371420.0,0.0,6
headset,25667216221,Lenovo Thinkplus TH10 TWS Headset Bluetooth 9D Stereo Music Headphone for Android IOS PC V5.0 With Mic,https://shopee.co.id/Lenovo-Thinkplus-TH10-TWS-Headset-Bluetooth-9D-Stereo-Music-Headphone-for-Android-IOS-PC-V5.0-With-Mic-i.1089578754.25667216221?extraParams=%7B%22display_model_id%22%3A232567420048%2C%22model_selection_logic%22%3A3%7D&sp_atk=798bf6e3-86df-433d-b034-5e8834b44204&xptdk=798bf6e3-86df-433d-b034-5e8834b44204,IDR,300000.0,479000.0,162000.0,219000.0,54,Computer & Accessories,Gaming,Gaming Headset,4.9,1400.0,3000.0,7.0,2.0,13.0,92.0,1300.0,1089578754,Thinkplus Audio Store,56800.0,31400.0,235.0,100.0,2,33 months ago,190500.0,57000.0,33
headset,25731458591,Lenovo Thinkplus TH46 Headset Bluetooth V5.4 -42dB Noise Reduction Game Bass Headphone Wireless/wired universal for Android/Computer/IOS With Mic,https://shopee.co.id/Lenovo-Thinkplus-TH46-Headset-Bluetooth-V5.4-42dB-Noise-Reduction-Game-Bass-Headphone-Wireless-wired-universal-for-Android-Computer-IOS-With-Mic-i.1089578754.25731458591?extraParams=%7B%22display_model_id%22%3A255920743930%2C%22model_selection_logic%22%3A3%7D&sp_atk=d28aa10a-a1f7-49e9-ab2e-9f99c0cbc3dd&xptdk=d28aa10a-a1f7-49e9-ab2e-9f99c0cbc3dd,IDR,309000.0,309000.0,309000.0,309000.0,0,Computer & Accessories,Gaming,Gaming Headset,4.8,107.0,196.0,1.0,0.0,2.0,10.0,94.0,1089578754,Thinkplus Audio Store,56800.0,31400.0,235.0,100.0,2,33 months ago,309000.0,0.0,33
headset,20183050728,Headset Gaming With Mic Telinga Gantung 9D Bass Hifi Surround Stereo S2000 3.5mm Earphone Sport Music Headphone Henset Mikrofon Bawaan Peredam Kebisingan Logam Plastik Earphones,https://shopee.co.id/Headset-Gaming-With-Mic-Telinga-Gantung-9D-Bass-Hifi-Surround-Stereo-S2000-3.5mm-Earphone-Sport-Music-Headphone-Henset-Mikrofon-Bawaan-Peredam-Kebisingan-Logam-Plastik-Earphones-i.1053798185.20183050728?extraParams=%7B%22display_model_id%22%3A128712091971%2C%22model_selection_logic%22%3A2%7D&sp_atk=8eb13000-da27-422e-a59a-2bf2ea60f2f6&xptdk=8eb13000-da27-422e-a59a-2bf2ea60f2f6,IDR,61000.0,68000.0,39590.0,53900.0,35,Computer & Accessories,Gaming,Gaming Headset,4.8,3400.0,8000.0,33.0,18.0,77.0,327.0,3000.0,1053798185,NexTrove Store,15200.0,2800.0,31.0,100.0,1,35 months ago,46745.0,14310.0,35
headset,28478256325,Baseus Bass BH1 Lite Wireless Headphone Super Bass Spatial Audio AI ENC 40mm Dynamic Drivers,https://shopee.co.id/Baseus-Bass-BH1-Lite-Wireless-Headphone-Super-Bass-Spatial-Audio-AI-ENC-40mm-Dynamic-Drivers-i.223032375.28478256325?extraParams=%7B%22display_model_id%22%3A286421589622%2C%22model_selection_logic%22%3A3%7D&sp_atk=72ac306a-7d27-479f-9f82-37e9e6c491e3&xptdk=72ac306a-7d27-479f-9f82-37e9e6c491e3,IDR,369000.0,369000.0,369000.0,369000.0,0,Mobile & Accessories,Mobile Audio,"Earphones, Headphones & Headsets",4.9,2100.0,6000.0,12.0,7.0,21.0,83.0,2000.0,223032375,Baseus Official Shop,379900.0,249800.0,262.0,100.0,1,6 years ago,369000.0,0.0,6
headset,18037599741,(COD) Headset Gaming With Mic Telinga Gantung  9D Bass Hifi Surround Stereo S2000  3.5mm Earphone Sport Music Headphone Henset Mikrofon Bawaan Peredam Kebisingan Logam Plastik Earphones,https://shopee.co.id/(COD)-Headset-Gaming-With-Mic-Telinga-Gantung-9D-Bass-Hifi-Surround-Stereo-S2000-3.5mm-Earphone-Sport-Music-Headphone-Henset-Mikrofon-Bawaan-Peredam-Kebisingan-Logam-Plastik-Earphones-i.193198553.18037599741?extraParams=%7B%22display_model_id%22%3A174177014959%2C%22model_selection_logic%22%3A2%7D&sp_atk=bb2578a1-49d4-406e-812c-bbc5ed2781ba&xptdk=bb2578a1-49d4-406e-812c-bbc5ed2781ba,IDR,65800.0,65800.0,39990.0,53900.0,39,Computer & Accessories,Gaming,Gaming Headset,4.8,24500.0,10000.0,180.0,124.0,494.0,2200.0,21500.0,193198553,seaphoneshop,151600.0,32500.0,45.0,100.0,1,7 years ago,46945.0,13910.0,7
